caza casa
m3sa mesa
baico baixo
inferno interno
pezo peso
programakao programacao
ciensia ciencia
gogador jogador
gakeria galeria
paralizado paralisado
cabalereiro cabaleirero
germinadas geminadas
bahiano baiano
tijela tigela
calabreza calabresa
organisar organizar
padastro padrasto
cadeifa cadeira
digiyar digitar
trfm trem
cachotro cachorro
cinko cinco
senjora senhora
debrulado debruçado
metamorfoze metamorfose
inconstitucionaliszimamente inconstitucionalissimamente
af ar
musica música
lampada lâmpada
saude saúde
mae mãe
pais país
balao balão
coracão coração
manha manhã
negocio negócio
espiritos espíritos
heladoire geladeira
coverros cobertor
chocolate xocolathe
