grau acc
1 67.5000
2 100.0000
3 100.0000
4 100.0000
5 100.0000
6 100.0000
7 100.0000
8 100.0000
9 100.0000
10 100.0000
11 100.0000
12 100.0000
13 100.0000
14 100.0000
15 100.0000
16 100.0000
17 100.0000
18 100.0000
19 100.0000
20 100.0000
21 100.0000
22 100.0000
23 100.0000
24 100.0000
25 100.0000
26 100.0000
27 100.0000
28 100.0000
29 100.0000
30 100.0000
31 100.0000
32 100.0000
33 100.0000
34 100.0000
35 100.0000
36 100.0000
37 100.0000
38 100.0000
39 100.0000
40 100.0000
41 100.0000
42 100.0000
43 100.0000
44 100.0000
45 100.0000
46 100.0000
47 100.0000
48 100.0000
49 100.0000
50 100.0000
51 100.0000
52 100.0000
53 100.0000
54 90.0000
55 77.5000
56 75.0000
57 75.0000
58 75.0000
59 75.0000
60 75.0000
