grau iters
1 41.1000
2 2670.5000
3 1742.0000
4 1384.6000
5 1190.4000
6 1069.0000
7 989.0000
8 930.2000
9 869.0000
10 838.8000
11 806.4000
12 786.6000
13 770.3000
14 752.2000
15 744.8000
16 723.0000
17 708.7000
18 694.2000
19 685.0000
20 668.2000
21 656.3000
22 633.1000
23 621.1000
24 609.1000
25 591.8000
26 598.0000
27 603.3000
28 579.7000
29 582.6000
30 582.2000
31 584.2000
32 584.6000
33 584.9000
34 591.3000
35 585.0000
36 585.2000
37 585.2000
38 585.0000
39 585.0000
40 584.8000
41 585.0000
42 585.1000
43 585.1000
44 585.1000
45 585.1000
46 585.0000
47 585.1000
48 585.2000
49 585.0000
50 585.0000
51 585.1000
52 585.1000
53 585.0000
54 352.0000
55 60.3000
56 2.0000
57 2.0000
58 2.0000
59 2.0000
60 2.0000
