grau tempo
1 0.0063
2 0.3350
3 0.2181
4 0.1746
5 0.1498
6 0.1339
7 0.1248
8 0.1173
9 0.1103
10 0.1069
11 0.1027
12 0.1009
13 0.0986
14 0.0975
15 0.0987
16 0.0952
17 0.0936
18 0.0923
19 0.0916
20 0.0899
21 0.0886
22 0.0864
23 0.0854
24 0.0837
25 0.0820
26 0.0834
27 0.0847
28 0.0830
29 0.0828
30 0.0838
31 0.0849
32 0.0854
33 0.0854
34 0.0872
35 0.0882
36 0.0875
37 0.0896
38 0.0891
39 0.0897
40 0.0903
41 0.0913
42 0.0922
43 0.0928
44 0.0941
45 0.0947
46 0.0950
47 0.0962
48 0.0967
49 0.0978
50 0.0990
51 0.0992
52 0.1005
53 0.1015
54 0.0623
55 0.0108
56 0.0005
57 0.0005
58 0.0005
59 0.0005
60 0.0005
