50000000 50
1 1222589 2
2 2077816 6
3 5411812 3
4 4544654 4
5 5000885 3
6 5691285 1
7 5350297 9
8 4099258 0
9 721264 3
10 2411596 7
11 5167752 6
12 6352820 10
13 1254965 10
14 2571480 2
15 5650335 4
16 5627253 0
17 2569827 9
18 5322140 1
19 1195564 4
20 6280106 8
21 2614009 0
22 2241507 4
23 2680030 4
24 1871654 1
25 501895 4
26 4476326 4
27 1673919 3
28 5772329 5
29 5378119 4
30 4937548 6
31 4676523 3
32 2757364 2
33 1705419 2
34 1668802 8
35 1314824 10
36 3352235 6
37 4885820 10
38 728497 0
39 6451752 2
40 2649381 10
41 2926937 3
42 4806821 2
43 2580891 0
44 962052 9
45 6168647 7
46 4948151 7
47 6134493 3
48 1300148 0
49 5568564 0
50 4323043 1
