[2015-11-23 09:27:37,269] __main__                  INFO     Finished building TrevisoTrainable model
[2015-11-23 09:27:37,269] __main__                  INFO     Training model...
[2015-11-23 09:27:37,269] __main__                  DEBUG    and validating over dev corpus...
[2015-11-23 09:27:39,787] deeptagger.model.recursive.treviso_rec_beam DEBUG    Getting manual features...
(957439, 5) (957439, 44) (957439, 1) (957439, 5)
Total sentences: 42022, Avg size of a sentence: 22
time  18 of sentence  42022 of  42022: acc:0.9629 - 0.00024
Samples seen: 957439

[2015-11-23 17:24:41,090] __main__                  INFO     Evaluating model...
[2015-11-23 17:24:41,581] deeptagger.model.recursive.treviso_rec_beam DEBUG    Getting manual features...
(213794, 5) (213794, 44) (213794, 1) (213794, 3, 5)
Total sentences: 9141, Avg size of a sentence: 23
time  18 of sentence   9141 of   9141: acc:0.9429 - 0.9259 - 0.9222
Samples seen: 213794 | acc: 0.9429

[2015-11-23 17:40:23,290] __main__                  INFO     Test accuracy: (0, 0.94285620737719489)
[2015-11-23 17:40:23,320] __main__                  INFO     Predicting over validation corpus...
[2015-11-23 17:40:23,504] __main__                  INFO     Saving predicted tags to 'data/marcos/macmorpho-v1-test.txt.marcos.tagged'...
Accuracy: 94.2856%
g,t,c,w: 213794,213794,0,12217
    Words:   Total    (%)      Correct Wrong Precision%
    Known:  204683 ( 95.7384%)  194056 10627 94.8081%
  Unknown:    9111 (  4.2616%)    7521  1590 82.5486%
Ambiguous:  146352 ( 68.4547%)  137936  8416 94.2495%
    Total:  213794 (100.0000%)  201577 12217 94.2856%
Total sentences: 9512
Wrong sentences:5879
Correct sentences:3633

Avg of wrong sentences per size:
  1: 0/0
  2: 0/10
  3: 9/41
  4: 8/37
  5: 10/56
  6: 25/119
  7: 33/111
  8: 48/164
  9: 81/208
 10: 83/221
 11: 102/272
 12: 125/300
 13: 157/332
 14: 179/351
 15: 179/373
 16: 176/322
 17: 197/339
 18: 190/335
 19: 232/392
 20: 185/335
 21: 234/378
 22: 238/339
 23: 198/321
 24: 205/310
 25: 231/330
 26: 225/309
 27: 199/270
 28: 175/256
 29: 163/228
 30: 183/262
 31: 137/178
 32: 154/203
 33: 136/169
 34: 118/164
 35: 128/160
 36: 97/131
 37: 103/125
 38: 108/130
 39: 77/92
 40: 72/83
 41: 81/92
 42: 57/65
 43: 53/64
 44: 46/50
 45: 49/58
 46: 42/45
 47: 37/41
 48: 24/26
 49: 40/43
 50: 22/26
 51: 19/20
 52: 15/18
 53: 18/22
 54: 11/11
 55: 16/16
 56: 15/18
 57: 7/7
 58: 13/15
 59: 4/4
 60: 11/11
 61: 9/10
 62: 8/9
 63: 6/7
 64: 7/7
 65: 4/4
 66: 2/3
 67: 7/7
 68: 9/9
 69: 4/4
 70: 6/6
 71: 1/1
 72: 3/3
 73: 1/1
 74: 3/3
 75: 1/1
 76: 2/2
 77: 3/3
 78: 3/3
 79: 2/2
 80: 3/4
 81: 1/1
 82: 1/1
 83: 0/0
 84: 1/1
 85: 1/1
 86: 0/0
 87: 1/1
 88: 1/1
 89: 1/1
 90: 0/0
 91: 1/1
 92: 3/3
 93: 0/0
 94: 0/0
 95: 0/0
 96: 0/0
 97: 1/1
 98: 0/0
 99: 0/0
100: 0/0
101: 0/0
102: 0/0
103: 0/0
104: 0/0
105: 0/0
106: 0/0
107: 1/1
108: 0/0
109: 0/0
110: 0/0
111: 1/1
112: 0/0
113: 0/0
114: 0/0
115: 0/0
116: 0/0
117: 0/0
118: 0/0
119: 0/0
120: 0/0
121: 0/0
122: 0/0
123: 0/0
124: 0/0
125: 0/0
126: 0/0
127: 0/0
128: 0/0
129: 0/0
130: 0/0
131: 0/0
132: 0/0
133: 0/0
134: 0/0
135: 0/0
136: 1/1
137: 0/0
138: 0/0
139: 0/0
140: 0/0
141: 0/0
142: 0/0
143: 0/0
