tamanho erro
3 0.0000
4 0.0000
5 0.2000
6 0.0500
7 0.1429
8 0.0714
9 0.0833
10 0.1364
11 0.1667
12 0.0741
13 0.0690
14 0.2857
15 0.3571
16 0.2340
17 0.2955
18 0.2353
19 0.2889
20 0.2708
21 0.2727
22 0.3462
23 0.4250
24 0.2439
25 0.3250
26 0.3684
27 0.2895
28 0.2791
29 0.2857
30 0.4545
31 0.3333
32 0.5714
33 0.5652
34 0.5000
35 0.3500
36 0.6538
37 0.4211
38 0.5000
39 0.7500
40 0.5882
41 0.7000
42 0.3750
43 0.7000
44 0.8000
45 0.1667
46 0.4000
47 0.6667
48 0.5000
49 0.4000
50 0.6667
51 0.7500
52 1.0000
53 0.5000
56 1.0000
57 1.0000
58 1.0000
59 1.0000
60 0.0000
62 1.0000
63 0.0000
67 1.0000
69 1.0000
70 1.0000
73 1.0000
74 1.0000
78 1.0000
89 1.0000
111 1.0000
