tamanho erro
2 0.0000
3 0.0588
4 0.1429
5 0.1746
6 0.1504
7 0.1714
8 0.1593
9 0.2344
10 0.1801
11 0.2789
12 0.2816
13 0.3144
14 0.3153
15 0.3427
16 0.3596
17 0.3648
18 0.3983
19 0.4086
20 0.4428
21 0.5014
22 0.4590
23 0.4984
24 0.5154
25 0.5105
26 0.5868
27 0.5202
28 0.5709
29 0.5467
30 0.5519
31 0.5417
32 0.6645
33 0.6154
34 0.6560
35 0.6373
36 0.6417
37 0.6098
38 0.6351
39 0.6447
40 0.6667
41 0.6000
42 0.7234
43 0.7500
44 0.7234
45 0.7353
46 0.7500
47 0.6786
48 0.6923
49 0.6111
50 0.8462
51 1.0000
52 0.8000
53 0.7143
54 1.0000
55 0.5000
56 0.6000
57 0.8000
58 0.7500
59 0.7143
60 1.0000
61 1.0000
62 0.0000
63 0.6000
64 1.0000
66 1.0000
67 1.0000
68 0.6667
70 1.0000
71 1.0000
73 0.0000
74 1.0000
75 1.0000
76 0.0000
77 1.0000
79 1.0000
