tamanho erro
3 0.0323
4 0.0000
5 0.1111
6 0.0606
7 0.2656
8 0.2143
9 0.2373
10 0.2595
11 0.2715
12 0.3092
13 0.3176
14 0.3052
15 0.3780
16 0.3841
17 0.4245
18 0.5145
19 0.4595
20 0.4737
21 0.4112
22 0.6190
23 0.5325
24 0.5676
25 0.5139
26 0.5652
27 0.6364
28 0.6829
29 0.6486
30 0.6562
31 0.7059
32 0.5676
33 0.4167
34 0.6774
35 0.6522
36 0.7273
37 0.6923
38 0.6667
39 0.8000
40 0.6364
41 0.4615
42 0.7500
43 0.8000
44 1.0000
45 0.1667
46 0.8000
47 0.6667
48 0.6667
49 1.0000
50 0.6667
51 0.8750
52 0.5000
53 1.0000
54 0.6667
55 1.0000
56 0.5000
57 1.0000
59 1.0000
60 1.0000
62 0.5000
63 1.0000
68 1.0000
72 1.0000
75 0.0000
82 1.0000
86 1.0000
101 1.0000
