tamanho erro
2 0.0000
3 0.0882
4 0.1429
5 0.1429
6 0.2556
7 0.2571
8 0.2692
9 0.3062
10 0.3372
11 0.3745
12 0.4304
13 0.3952
14 0.4625
15 0.4579
16 0.4971
17 0.4987
18 0.4958
19 0.5229
20 0.5934
21 0.6446
22 0.6049
23 0.6752
24 0.6543
25 0.7063
26 0.6942
27 0.6906
28 0.7126
29 0.7383
30 0.6940
31 0.7500
32 0.7763
33 0.8107
34 0.7920
35 0.7647
36 0.8333
37 0.8171
38 0.8649
39 0.8026
40 0.8571
41 0.7800
42 0.7660
43 0.8182
44 0.8936
45 0.8529
46 0.8214
47 0.9286
48 0.7692
49 0.8889
50 1.0000
51 1.0000
52 0.8000
53 1.0000
54 1.0000
55 1.0000
56 0.8000
57 1.0000
58 0.7500
59 0.8571
60 1.0000
61 1.0000
62 1.0000
63 1.0000
64 1.0000
66 1.0000
67 1.0000
68 1.0000
70 1.0000
71 1.0000
73 1.0000
74 1.0000
75 1.0000
76 1.0000
77 1.0000
79 1.0000
