tamanho erro
2 0.1209
3 0.1708
4 0.3391
5 0.3806
6 0.4049
7 0.4907
8 0.5107
9 0.5353
10 0.6193
11 0.6300
12 0.6776
13 0.7031
14 0.7652
15 0.7427
16 0.7574
17 0.7781
18 0.8304
19 0.7983
20 0.8560
21 0.8184
22 0.8707
23 0.9049
24 0.8800
25 0.8828
26 0.9156
27 0.9193
28 0.9269
29 0.9206
30 0.9157
31 0.9441
32 0.9515
33 0.9643
34 0.9189
35 0.9432
36 0.9483
37 0.9907
38 0.9649
39 0.9776
40 0.9688
41 0.9391
42 0.9540
43 0.9663
44 0.9718
45 0.9872
46 1.0000
47 0.9859
48 1.0000
49 0.9848
50 0.9800
51 1.0000
52 1.0000
53 0.9762
54 0.9737
55 0.9714
56 1.0000
57 1.0000
58 1.0000
59 1.0000
60 1.0000
61 1.0000
62 1.0000
63 1.0000
64 1.0000
65 1.0000
66 1.0000
67 1.0000
68 1.0000
69 1.0000
70 1.0000
71 1.0000
72 1.0000
73 0.9000
74 1.0000
75 0.9286
76 1.0000
77 1.0000
78 1.0000
79 1.0000
80 1.0000
81 1.0000
82 1.0000
83 1.0000
84 1.0000
85 1.0000
86 1.0000
87 1.0000
88 1.0000
89 1.0000
90 1.0000
91 1.0000
92 1.0000
93 1.0000
94 1.0000
96 1.0000
97 1.0000
99 1.0000
100 1.0000
101 1.0000
102 1.0000
103 1.0000
104 1.0000
105 1.0000
106 1.0000
109 1.0000
111 1.0000
115 1.0000
118 1.0000
122 1.0000
123 1.0000
125 1.0000
127 1.0000
129 1.0000
131 1.0000
134 1.0000
140 1.0000
142 1.0000
143 1.0000
144 1.0000
